removeME,Total Global,USA ,Canada,Argentina,Brazil ,Mexico,France,Germany,Italy,Spain,Sweden,UK,Czech Republic,Poland,Russia,Turkey,Egypt,South Africa,Australia,China,India,Indonesia,Japan,South Korea,Taiwan,Thailand
Recession and unemployment,3,5,,5,3,5,4,3,3,5,,,,4,,2,2,4,,2,2,5,,1,1,1
Inflation and high prices,1,2,2,4,,,1,1,2,3,,,1,2,1,,1,,,1,4,1,,2,2,2
Money enough to live right and pay the bills,3,2,1,,,,2,4,4,4,5,2,3,2,2,,,,2,,,,,4,4,
Crime and lawlessness,2,1,3,1,1,1,4,2,1,1,2,1,2,1,3,3,3,2,1,,1,3,3,,5,4
Environmental pollution,5,,4,,,,3,,5,,1,,,,,,,,2,2,,,1,3,,5
Wrongdoing by/corruption of elected officials,9,,,,,,,,,,,,,5,5,,4,,,5,,,4,,,
Educational quality,6,,,3,5,4,,,,,,,,,,4,5,5,,4,3,,,5,3,
Cost of health care,8,4,,,,,,5,,,,,4,,,,,,,,,,,,,
Future of retirement benefits provided by govt',13,,,,,,,,,,,,5,,,,,,,,,,4,,,
Economic inequality,14,,,,,,,,,,,,,,,,,,,,,,,,,
Global climate change/global warming,11,,,,,,,,,,3,,,,,,,,4,,,,2,,,
Personal information getting into wrong hands,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrorism,9,,,,,,,,,2,4,5,,,,1,,,,,5,,,,,
Drug abuse,7,,4,2,2,2,,,,,,4,,,4,4,5,3,4,,,4,,,,3
Religious exptremism/fundamentalism,16,,,,,,,,,,,,,,,,,,,,,,,,,
Immigration,14,,,,,,,,,,,2,,,,,,,,,,,,,,
Pandemics (epidemics that spread across world),,,,,,,,,,,,,,,,,,,,,,,,,,
Relations with foreing countries,18,,,,,,,,,,,,,,,,,,,,,,,,,
AIDS,11,,,,4,3,,,,,,,,,,,,1,,,,2,,,,
Relations between racial and ethnic groups,16,,,,,,,,,,,,,,,,,,,,,,,,,
Aid to countries in Third World,19,,,,,,,,,,,,,,,,,,,,,,,,,
